text,label
When the bus driver failed to stop and pick me up at a bus stop.,anger
 Yes . ,neutral
 You are such an expert on it . I don't know that . ,joy
"When I asked if they could make me an identical one trimmed with black fur and beading instead , they were horrified but they agreed in the end . "" ",fear
"When my mother scolded me for coming home late, i.e after 7 P.M.",anger
 You are passing the buck . I'll be hanged if I ask you to go to the park with us . ,anger
Two fierce eyes glared at the terror-stricken sailors . ,fear
Good news about a sick relative.,joy
"I was too miserable to giggle , but I wondered if the fiances had when he postured on his lawn . ",sadness
 I'm in such a need of the job that I can't afford any mistakes . ,fear
"Just arrived in the university, not knowing anybody.",fear
 I beg your pardon ? ,neutral
"I was travelling in the South of Brasil, near the end of the year. I was well settled with 3 friends. At the evening of 31 M., somebody, also with us, took from his purse pints of all colours, and the 4 of us, and other friends, that were at the same beach, painted each other and we went to the beach with champagne.",joy
"What does stand out is that everyone believes that the profession , its standards and its aims , matter , and they all feel an excitement about the job of acting . ",joy
I met again a very good friend after a year and realized that there had grown a certain distance between us.,sadness
When I had to walk home in the dark for the first time. ,fear
"How about seconds , Victor ? ",joy
" No , what ? ",neutral
 OK . ,neutral
I was so angry with a patient who refused to take drugs.,anger
My mother was ill and my father was not at home.,sadness
 What are you so excited about ? ,neutral
I was very scared when I went to the examination hall for my M.Sc examination as I had studied a limited partion of the course thoroughly and I was in great doubt whether that would be asked.,fear
"` You think of everything , don't you ? "" she said with a delighted smile . ",joy
" Well , the air line lost my luggage on the return flight and then I lost my carry on bag when I was tackling with the officers in charge . I left the airport three hours later than I expected and then I was caught in a traffic jam . When I finally got home , I was totally exhausted . But I found the elevator was out of service due to a blackout . ",neutral
"She cackled , delighted with the queasy mixture on the plate , hot brown coffee lapping at the pale wedge of sugared pastry . ",joy
"Creggan had never in his short life felt so desolate , and try as he did he could not rest and fall asleep . ",sadness
Occured while preparing for a midterm in Social Welfare that I thought was going to be very hard and felt unprepared for.,fear
"Bellybutton said in an indignant voice , as though my question had impugned McIllvanney 's honour . ",anger
When my father was ill and was waiting for the results of his tests.,fear
We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time . ,joy
"It was , I thought , a measure of her self-control that she had waited until now to express her annoyance . ",anger
China winning the Asian Olympic.,joy
"After having left the company of someone who gave me a lot of support and made me laugh, found myself alone for days on end.",sadness
Birth of children.,joy
The new computer software is driving me crazy ! I really need a break ! ,anger
" Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . ",anger
